R,PR,Position,Name,Team,RBBR,FF Projection
190,47,QB,Daniel Jones,NYG,6.9,Flex Filler,Dynasty
453,185,WR,Dante Cephas,Transfer Portal,6,Taxi Squad Stash,Devy
465,122,RB,Dante Dowdell,Oregon,6,Taxi Squad Stash,Devy
143,33,QB,Dante Moore,Oregon,7.1,Weekly Starter,Devy
273,102,WR,Darius Slayton,NYG,6.6,Flex Filler,Dynasty
302,121,WR,Darnell Mooney,ATL,6.5,Bench Depth,Dynasty
215,22,TE,Darren Waller,NYG,6.7,Flex Filler,Dynasty
52,19,WR,Davante Adams,LV,7.9,Weekly Starter,Dynasty
131,35,RB,David Montgomery,DET,7.2,Weekly Starter,Dynasty
84,9,TE,David Njoku,CLE,7.6,Weekly Starter,Dynasty
396,46,TE,Dawson Knox,BUF,6.2,Bench Depth,Dynasty
620,231,WR,Dayton Wade,Ole Miss,5.3,Waiver Wire Warrior,Rookie
214,78,WR,DeAndre Hopkins,TEN,6.7,Flex Filler,Dynasty
48,18,WR,Deebo Samuel,SF,8.0,Weekly Starter,Dynasty
623,170,RB,DeeJay Dallas,ARI,5.2,Waiver Wire Warrior,Dynasty
452,184,WR,Deion Smith,LSU,6,Taxi Squad Stash,Devy
208,76,WR,Demario Douglas,NE,6.8,Flex Filler,Dynasty
193,48,QB,Derek Carr,NO,6.8,Flex Filler,Dynasty
334,132,WR,Derius Davis,LAC,6.4,Bench Depth,Dynasty
54,12,RB,Derrick Henry,BAL,7.9,Weekly Starter,Dynasty
94,22,QB,Deshaun Watson,CLE,7.5,Weekly Starter,Dynasty
445,94,QB,Desmond Ridder,ARI,6.1,Bench Depth,Dynasty
621,168,RB,Deuce Vaughn,DAL,5.3,Waiver Wire Warrior,Dynasty
607,226,WR,DeVante Parker,PHI,5.4,Waiver Wire Warrior,Dynasty
491,202,WR,Devaughn Vele,Utah,5.9,Taxi Squad Stash,Rookie
223,53,QB,Devin Brown,Ohio State,6.7,Flex Filler,Devy
500,68,TE,Devin Culp,Washington,5.9,Taxi Squad Stash,Rookie
480,193,WR,Devin Duvernay,JAC,5.9,Taxi Squad Stash,Dynasty
598,118,QB,Devin Leary,Kentucky,5.5,Waiver Wire Warrior,Rookie
97,21,RB,Devin Neal,Kansas,7.5,Weekly Starter,Devy
194,57,RB,Devin Singletary,NYG,6.8,Flex Filler,Dynasty
45,10,RB,Devon Achane,MIA,8.0,Weekly Starter,Dynasty
47,17,WR,Devonta Smith,PHI,8.0,Weekly Starter,Dynasty
248,99,WR,Devontez Walker,North Carolina,6.6,Flex Filler,Rookie
469,126,RB,Dilin Jones,Wisconsin,6,Taxi Squad Stash,Devy
157,38,QB,Dillion Gabriel,Oregon,7,Weekly Starter,Devy
319,92,RB,Dillon Johnson,Washington,6.4,Bench Depth,Rookie
87,39,WR,Diontae Johnson,CAR,7.6,Weekly Starter,Dynasty
369,146,WR,DJ Chark,FA,6.3,Bench Depth,Dynasty
313,86,RB,DJ Giddens,Kansas State,6.4,Bench Depth,Devy
145,35,QB,DJ Lagway,Florida,7.1,Weekly Starter,Devy
62,24,WR,DJ Moore,CHI,7.8,Weekly Starter,Dynasty
475,98,QB,DJ Uiagalelei,Florida State,6,Taxi Squad Stash,Devy
36,14,WR,DK Metcalf,SEA,8.2,League Winner,Dynasty
418,176,WR,Dominic Lovett,Georgia,6.1,Bench Depth,Devy
367,39,TE,Donald Parham Jr.,LAC,6.3,Bench Depth,Dynasty
138,37,RB,Donovan Edwards,Michigan,7.1,Weekly Starter,Devy
591,95,TE,Donovan Green,Texas A&M,5.5,Waiver Wire Warrior,Devy
269,101,WR,Dontayvion Wicks,GB,6.6,Flex Filler,Dynasty
412,170,WR,Dorian Singer,Utah,6.1,Bench Depth,Devy
55,20,WR,Drake London,ATL,7.8,Weekly Starter,Dynasty
20,10,QB,Drake Maye,North Carolina,8.4,League Winner,Rookie
158,39,QB,Drew Allar,Penn State,7,Weekly Starter,Devy
335,74,QB,Drew Lock,NYG,6.4,Bench Depth,Dynasty
289,29,TE,Duce Robinson,USC,6.5,Flex Filler,Devy
580,89,TE,Durham Smythe,MIA,5.6,Taxi Squad Stash,Dynasty
380,154,WR,Dyami Brown,WAS,6.2,Bench Depth,Dynasty
257,73,RB,Dylan Edwards,Colorado,6.6,Flex Filler,Devy
358,102,RB,Dylan Laube,New Hampshire,6.3,Bench Depth,Rookie
437,89,QB,Dylan Lonergan,Alabama,6.1,Bench Depth,Devy
160,41,QB,Dylan Raiola,Nebraska,7,Weekly Starter,Devy
254,70,RB,Dylan Sampson,Tennessee,6.6,Flex Filler,Devy
552,104,QB,EJ Smith,Texas A&M,5.8,Taxi Squad Stash,Devy
361,76,QB,Eli Holstein,Pittsburgh,6.3,Bench Depth,Devy
529,73,TE,Eli Raridon,Notre Dame,5.8,Taxi Squad Stash,Devy
346,141,WR,Elic Ayomanor,Stanford,6.3,Bench Depth,Devy
459,59,TE,Elijah Higgins,ARI,6.0,Bench Depth,Dynasty
368,105,RB,Elijah Mitchell,SF,6.3,Bench Depth,Dynasty
278,106,WR,Elijah Moore,CLE,6.5,Flex Filler,Dynasty
507,134,RB,Emani Bailey,TCU,5.9,Taxi Squad Stash,Rookie
59,23,WR,Emeka Egbuka,Ohio State,7.8,Weekly Starter,Devy
255,71,RB,Emmanuel Henderson,Alabama,6.6,Flex Filler,Devy
547,148,RB,Eric Gray,NYG,5.8,Taxi Squad Stash,Dynasty
496,64,TE,Erick All,Iowa,5.9,Taxi Squad Stash,Rookie
310,31,TE,Ethan Davis,Tennessee,6.4,Bench Depth,Devy
438,90,QB,Ethan Grunkmeyer,Penn State,6.1,Bench Depth,Devy
69,8,TE,Evan Engram,JAC,7.7,Weekly Starter,Dynasty
539,140,RB,Evan Pryor,Ohio State,5.8,Taxi Squad Stash,Devy
103,44,WR,Evan Stewart,Oregon,7.4,Weekly Starter,Devy
590,94,TE,Foster Moreau,NO,5.5,Waiver Wire Warrior,Dynasty
506,133,RB,Frank Gore Jr.,Southern Miss,5.9,Taxi Squad Stash,Rookie
188,70,WR,Gabriel Davis,JAC,6.9,Flex Filler,Dynasty
546,147,RB,Gabe Ervin Jr.,Nebraska,5.8,Taxi Squad Stash,Devy
274,65,QB,Gardner Minshew,LV,6.6,Flex Filler,Dynasty
25,7,WR,Garrett Wilson,NYJ,8.3,League Winner,Dynasty
420,178,WR,Gatlin Bear,Michigan,6.1,Bench Depth,Devy
176,51,RB,Gavin Sawchuk,Oklahoma,6.9,Flex Filler,Devy
206,50,QB,Geno Smith,SEA,6.8,Flex Filler,Dynasty
571,155,RB,George Holani,Boise State,5.7,Taxi Squad Stash,Rookie
93,11,TE,George Kittle,SF,7.5,Weekly Starter,Dynasty
427,110,RB,George Pettaway,North Carolina,6.1,Bench Depth,Devy
90,41,WR,George Pickens,PIT,7.5,Weekly Starter,Dynasty
399,47,TE,Gerald Everett,CHI,6.2,Bench Depth,Dynasty
512,100,QB,Graham Mertz,Florida,5.9,Taxi Squad Stash,Devy
554,106,QB,Grayson McCall,NC State,5.8,Taxi Squad Stash,Devy
478,191,WR,Greg Dortch,ARI,6.0,Taxi Squad Stash,Dynasty
556,83,TE,Greg Dulcich,DEN,5.8,Taxi Squad Stash,Dynasty
264,59,QB,Gunner Stockton,Georgia,6.6,Flex Filler,Devy
162,43,RB,Gus Edwards,LAC,7.0,Flex Filler,Dynasty
586,91,TE,Harrison Bryant,LV,5.6,Waiver Wire Warrior,Dynasty
545,146,RB,Harry Parrish,Miami,5.8,Taxi Squad Stash,Devy
270,28,TE,Hayden Hurst,LAC,6.6,Flex Filler,Dynasty
331,72,QB,Hendon Hooker,DET,6.4,Bench Depth,Dynasty
210,77,WR,Marquise Brown,KC,6.7,Flex Filler,Dynasty
599,119,QB,Hudson Card,Purdue,5.5,Waiver Wire Warrior,Rookie
230,25,TE,Hunter Henry,NE,6.6,Flex Filler,Dynasty
244,95,WR,Hykeem Williams,Florida State,6.6,Flex Filler,Devy
318,91,RB,Isaac Guerendo,Louisville,6.4,Bench Depth,Rookie
612,98,TE,Isaac Rex,BYU,5.4,Waiver Wire Warrior,Rookie
222,67,RB,Isaiah Davis,South Dakota State,6.7,Flex Filler,Rookie
402,163,WR,Isaiah Hodgins,NYG,6.1,Bench Depth,Dynasty
326,34,TE,Isaiah Likely,BAL,6.4,Bench Depth,Dynasty
522,209,WR,Isaiah Neyor,Nebraska,5.8,Taxi Squad Stash,Devy
632,178,RB,Isaiah Spiller,LAC,5.0,Waiver Wire Warrior,Dynasty
524,211,WR,Isaiah Williams,Illinois,5.8,Taxi Squad Stash,Rookie
280,107,WR,Isiah Bond,Alabama,6.5,Flex Filler,Devy
128,32,RB,Isiah Pacheco,KC,7.2,Weekly Starter,Dynasty
570,154,RB,Israel Abanikanda,NYJ,5.7,Taxi Squad Stash,Dynasty
239,90,WR,J. Michael Sturdivant,UCLA,6.6,Flex Filler,Devy
216,79,WR,Ja’Lynn Polk,Washington,6.7,Flex Filler,Rookie
7,3,WR,Ja'Marr Chase,CIN,8.7,Franchise Cornerstone,Dynasty
314,87,RB,Ja'Quinden Jackson,Utah,6.4,Bench Depth,Devy
156,16,TE,Ja'Tavion Sanders,Texas,7,Weekly Starter,Rookie
460,117,RB,Jabari Small,Tennessee,6,Taxi Squad Stash,Devy
501,69,TE,Jack Westover,Washington,5.9,Taxi Squad Stash,Rookie
127,31,QB,Jackson Arnold,Oklahoma,7.2,Weekly Starter,Devy
287,114,WR,Jacob Cowing,Arizona,6.5,Flex Filler,Rookie
305,67,QB,Jacoby Brissett,NE,6.4,Bench Depth,Dynasty
413,171,WR,Jacorey Brooks,Louisville,6.1,Bench Depth,Devy
224,54,QB,Jaden Rashada,Arizona State,6.7,Flex Filler,Devy
425,54,TE,Jaden Reddell,Georgia,6.1,Bench Depth,Devy
614,166,RB,Jaden Shirden,Monmouth,5.4,Waiver Wire Warrior,Rookie
527,214,WR,Jadon Janke,South Dakota State,5.8,Taxi Squad Stash,Rookie
439,91,QB,Jadyn Davis,Michigan,6.1,Bench Depth,Devy
170,65,WR,Jahan Dotson,WAS,6.9,Flex Filler,Dynasty
290,30,TE,Jaheim Bell,Florida State,6.5,Flex Filler,Rookie
21,4,RB,Jahmyr Gibbs,DET,8.4,League Winner,Dynasty
377,151,WR,Jake Bobo,SEA,6.2,Bench Depth,Dynasty
351,38,TE,Jake Briningstool,Clemson,6.3,Bench Depth,Rookie
95,12,TE,Jake Ferguson,DAL,7.5,Weekly Starter,Dynasty
387,40,TE,Jake Johnson,Texas A&M,6.2,Bench Depth,Devy
100,43,WR,Jakobi Meyers,LV,7.4,Weekly Starter,Dynasty
373,106,RB,Jaleel McLaughlin,DEN,6.3,Bench Depth,Dynasty
388,41,TE,Jaleel Skinner,Miami,6.2,Bench Depth,Devy
485,196,WR,Jalen Brown,LSU,5.9,Taxi Squad Stash,Devy
526,213,WR,Jalen Coker,Holy Cross,5.8,Taxi Squad Stash,Rookie
382,156,WR,Jalen Hale,Alabama,6.2,Bench Depth,Devy
3,3,QB,Jalen Hurts,PHI,9.3,Generational,Dynasty
198,75,WR,Jalen McMillan,Washington,6.8,Flex Filler,Rookie
265,60,QB,Jalen Milroe,Alabama,6.6,Flex Filler,Devy
479,192,WR,Jalen Nailor,MIN,5.9,Taxi Squad Stash,Dynasty
406,165,WR,Jalen Tolbert,DAL,6.1,Bench Depth,Dynasty
549,150,RB,Jalen White,Georgia Southern,5.8,Taxi Squad Stash,Rookie
235,86,WR,Jalil Farooq,Oklahoma,6.6,Flex Filler,Devy
347,142,WR,Jalin Hyatt,NYG,6.3,Bench Depth,Dynasty
583,112,QB,Jalon Daniels,Kansas,5.6,Taxi Squad Stash,Devy
628,174,RB,Jamaal Williams,NO,5.1,Waiver Wire Warrior,Dynasty
196,73,WR,Jamari Thrash,Louisville,6.8,Flex Filler,Rookie
202,60,RB,Jamarion Miller,Alabama,6.8,Flex Filler,Devy
405,83,QB,Jameis Winston,CLE,6.1,Bench Depth,Dynasty
117,28,RB,James Conner,ARI,7.3,Weekly Starter,Dynasty
92,20,RB,James Cook,BUF,7.5,Weekly Starter,Dynasty
292,82,RB,James Peoples,Ohio State,6.5,Flex Filler,Devy
189,71,WR,Jameson Williams,DET,6.9,Flex Filler,Dynasty
383,157,WR,Jaquaize Pettaway,Oklahoma,6.2,Bench Depth,Devy
77,19,QB,Jared Goff,DET,7.7,Weekly Starter,Dynasty
534,78,TE,Jared Wiley,TCU,5.8,Taxi Squad Stash,Rookie
463,120,RB,Jarquez Hunter,Auburn,6,Taxi Squad Stash,Devy
359,103,RB,Jase McClellan,Alabama,6.3,Bench Depth,Rookie
631,177,RB,Jashaun Corbin,NYG,5.0,Waiver Wire Warrior,Dynasty
601,121,QB,Jason Bean,Kansas,5.5,Waiver Wire Warrior,Rookie
618,229,WR,Javon Antonio,Colorado,5.3,Waiver Wire Warrior,Rookie
288,115,WR,Javon Baker,UCF,6.5,Bench Depth,Rookie
108,26,RB,Javonte Williams,DEN,7.4,Weekly Starter,Dynasty
261,77,RB,Jawhar Jordan,Louisville,6.6,Flex Filler,Rookie
528,215,WR,Jaxon Janke,South Dakota State,5.8,Taxi Squad Stash,Rookie
74,33,WR,Jaxon Smith-Njigba,SEA,7.7,Weekly Starter,Dynasty
119,28,QB,Jaxson Dart,Mississippi,7.3,Weekly Starter,Devy
29,13,QB,Jayden Daniels,LSU,8.3,League Winner,Rookie
596,116,QB,Jayden de Laura,Transfer Portal,5.5,Waiver Wire Warrior,Devy
174,49,RB,Jayden Ott,California,6.9,Flex Filler,Devy
67,29,WR,Jayden Reed,GB,7.7,Weekly Starter,Dynasty
315,88,RB,Jaydon Blue,Texas,6.4,Bench Depth,Devy
462,119,RB,Jaylan Knighton,SMU,6,Taxi Squad Stash,Devy
38,15,WR,Jaylen Waddle,MIA,8.2,League Winner,Dynasty
192,56,RB,Jaylen Warren,PIT,6.8,Flex Filler,Dynasty
262,78,RB,Jaylen Wright,Tennessee,6.6,Flex Filler,Rookie
610,228,WR,Je'Quan Burton,Florida Atlantic,5.4,Waiver Wire Warrior,Rookie
622,169,RB,Jeffery Wilson,MIA,5.3,Waiver Wire Warrior,Dynasty
568,86,TE,Jelani Thurman,Ohio State,5.7,Taxi Squad Stash,Devy
516,71,TE,Jelani Woods,IND,5.9,Taxi Squad Stash,Dynasty
450,182,WR,Jerand Bradley,Texas Tech,6,Taxi Squad Stash,Devy
464,121,RB,Jeremiah Cobb,Auburn,6,Taxi Squad Stash,Devy
104,45,WR,Jeremiah Smith,Ohio State,7.4,Weekly Starter,Devy
477,60,TE,Jeremy Ruckert,NYJ,6.0,Taxi Squad Stash,Dynasty
385,159,WR,Jermaine Burton,Alabama,6.2,Bench Depth,Rookie
166,46,RB,Jerome Ford,CLE,6.9,Flex Filler,Dynasty
142,41,RB,Jerrick Gibson,Texas,7.1,Weekly Starter,Devy
559,153,RB,Jerick McKinnon,KC,5.7,Taxi Squad Stash,Dynasty
232,83,WR,Jerry Jeudy,CLE,6.6,Flex Filler,Dynasty
386,160,WR,Jha’Quan Jackson,Tulane,6.2,Bench Depth,Rookie
451,183,WR,Jimmy Horn Jr.,Colorado,6,Taxi Squad Stash,Devy
35,14,QB,JJ McCarthy,Michigan,8.2,League Winner,Rookie
219,64,RB,JK Dobbins,FA,6.7,Flex Filler,Dynasty
352,96,RB,Jo'Quavious Marks,USC,6.3,Bench Depth,Devy
8,5,QB,Joe Burrow,CIN,8.7,Franchise Cornerstone,Dynasty
441,93,QB,Joe Flacco,IND,6.1,Bench Depth,Dynasty
324,71,QB,Joe Milton,Tennessee,6.4,Bench Depth,Rookie
132,36,RB,Joe Mixon,HOU,7.1,Weekly Starter,Dynasty
476,190,WR,John Metchie,HOU,6.0,Taxi Squad Stash,Dynasty
600,120,QB,John Rhys Plumlee,UCF,5.5,Waiver Wire Warrior,Rookie
454,186,WR,Johnny Wilson,Florida State,6,Bench Depth,Rookie
195,72,WR,Johntay Cook II,Texas,6.8,Flex Filler,Devy
562,219,WR,JoJo Earle,TCU,5.7,Taxi Squad Stash,Devy
260,76,RB,Jonathan Brooks,Texas,6.6,Flex Filler,Rookie
342,138,WR,Jonathan Mingo,CAR,6.3,Bench Depth,Dynasty
42,8,RB,Jonathan Taylor,IND,8.1,League Winner,Dynasty
395,45,TE,Jonnu Smith,MIA,6.2,Bench Depth,Dynasty
40,16,WR,Jordan Addison,MIN,8.1,League Winner,Dynasty
