R,PR,Position,Name,Team,RBBR,FF Projection
200,75,WR,Demario Douglas,NE,6.8,Flex Filler,Dynasty
179,44,QB,Derek Carr,NO,6.8,Flex Filler,Dynasty
331,128,WR,Derius Davis,LAC,6.4,Bench Depth,Dynasty
66,13,RB,Derrick Henry,BAL,7.7,Weekly Starter,Dynasty
93,24,QB,Deshaun Watson,CLE,7.4,Weekly Starter,Dynasty
456,92,QB,Desmond Ridder,ARI,6.1,Bench Depth,Dynasty
609,166,RB,Deuce Vaughn,DAL,5.3,Waiver Wire Warrior,Dynasty
599,223,WR,DeVante Parker,PHI,5.4,Waiver Wire Warrior,Dynasty
519,206,WR,Devaughn Vele,Utah,5.8,Taxi Squad Stash,Rookie
444,89,QB,Devin Brown,Ohio State,6.1,Bench Depth,Devy
503,66,TE,Devin Culp,Washington,5.9,Taxi Squad Stash,Rookie
494,199,WR,Devin Duvernay,JAC,5.9,Taxi Squad Stash,Dynasty
506,100,QB,Devin Leary,Kentucky,5.9,Taxi Squad Stash,Rookie
104,21,RB,Devin Neal,Kansas,7.3,Weekly Starter,Devy
231,69,RB,Devin Singletary,NYG,6.6,Flex Filler,Dynasty
52,10,RB,Devon Achane,MIA,7.9,Weekly Starter,Dynasty
48,17,WR,Devonta Smith,PHI,8.0,Weekly Starter,Dynasty
390,157,WR,Devontez Walker,North Carolina,6.2,Bench Depth,Rookie
487,133,RB,Dilin Jones,Wisconsin,6.0,Bench Depth,Devy
148,35,QB,Dillion Gabriel,Oregon,7.0,Weekly Starter,Devy
302,88,RB,Dillon Johnson,Washington,6.4,Bench Depth,Rookie
78,32,WR,Diontae Johnson,CAR,7.6,Weekly Starter,Dynasty
376,146,WR,DJ Chark,FA,6.3,Bench Depth,Dynasty
198,57,RB,DJ Giddens,Kansas State,6.8,Flex Filler,Devy
119,29,QB,DJ Lagway,Florida,7.2,Weekly Starter,Devy
58,23,WR,DJ Moore,CHI,7.8,Weekly Starter,Dynasty
483,97,QB,DJ Uiagalelei,Florida State,6.0,Bench Depth,Devy
36,14,WR,DK Metcalf,SEA,8.2,League Winner,Dynasty
449,185,WR,Dominic Lovett,Georgia,6.1,Bench Depth,Devy
372,45,TE,Donald Parham Jr.,LAC,6.3,Bench Depth,Dynasty
139,39,RB,Donovan Edwards,Michigan,7.1,Weekly Starter,Devy
591,92,TE,Donovan Green,Texas A&M,5.5,Waiver Wire Warrior,Devy
321,124,WR,Dontayvion Wicks,GB,6.4,Bench Depth,Dynasty
432,179,WR,Dorian Singer,Utah,6.1,Bench Depth,Devy
55,21,WR,Drake London,ATL,7.8,Weekly Starter,Dynasty
27,12,QB,Drake Maye,North Carolina,8.3,League Winner,Rookie
563,221,WR,Drake Stoops,Oklahoma,5.6,Taxi Squad Stash,Rookie
252,55,QB,Drew Allar,Penn State,6.6,Flex Filler,Devy
329,73,QB,Drew Lock,NYG,6.4,Bench Depth,Dynasty
285,29,TE,Duce Robinson,USC,6.5,Flex Filler,Devy
562,82,TE,Durham Smythe,MIA,5.6,Taxi Squad Stash,Dynasty
387,154,WR,Dyami Brown,WAS,6.2,Bench Depth,Dynasty
268,77,RB,Dylan Edwards,Colorado,6.5,Flex Filler,Devy
350,98,RB,Dylan Laube,New Hampshire,6.3,Bench Depth,Rookie
593,119,QB,Dylan Lonergan,Alabama,5.5,Waiver Wire Warrior,Devy
137,34,QB,Dylan Raiola,Nebraska,7.1,Weekly Starter,Devy
150,42,RB,Dylan Sampson,Tennessee,7.0,Weekly Starter,Devy
529,142,RB,EJ Smith,Texas A&M,5.8,Taxi Squad Stash,Devy
592,118,QB,Eli Holstein,Pittsburgh,5.5,Waiver Wire Warrior,Devy
539,74,TE,Eli Raridon,Notre Dame,5.8,Taxi Squad Stash,Devy
253,97,WR,Elic Ayomanor,Stanford,6.6,Flex Filler,Devy
463,60,TE,Elijah Higgins,ARI,6.0,Bench Depth,Dynasty
373,106,RB,Elijah Mitchell,SF,6.3,Bench Depth,Dynasty
262,102,WR,Elijah Moore,CLE,6.5,Flex Filler,Dynasty
470,123,RB,Emani Bailey,TCU,6.0,Bench Depth,Rookie
77,31,WR,Emeka Egbuka,Ohio State,7.6,Weekly Starter,Devy
271,79,RB,Emmanuel Henderson,Alabama,6.5,Flex Filler,Devy
517,141,RB,Eric Gray,NYG,5.8,Taxi Squad Stash,Dynasty
305,31,TE,Erick All,Iowa,6.4,Bench Depth,Rookie
314,35,TE,Ethan Davis,Tennessee,6.4,Bench Depth,Devy
439,88,QB,Ethan Grunkmeyer,Penn State,6.1,Bench Depth,Devy
195,74,WR,Eugene Wilson III,Florida,6.8,Flex Filler,Devy
65,9,TE,Evan Engram,JAC,7.7,Weekly Starter,Dynasty
531,144,RB,Evan Pryor,Ohio State,5.8,Taxi Squad Stash,Devy
87,36,WR,Evan Stewart,Oregon,7.5,Weekly Starter,Devy
575,87,TE,Foster Moreau,NO,5.5,Waiver Wire Warrior,Dynasty
501,136,RB,Frank Gore Jr.,Southern Miss,5.9,Taxi Squad Stash,Rookie
175,67,WR,Gabriel Davis,JAC,6.9,Flex Filler,Dynasty
538,151,RB,Gabe Ervin Jr.,Nebraska,5.8,Taxi Squad Stash,Devy
257,57,QB,Gardner Minshew,LV,6.6,Flex Filler,Dynasty
24,7,WR,Garrett Wilson,NYJ,8.3,League Winner,Dynasty
309,120,WR,Gatlin Bear,Michigan,6.4,Bench Depth,Devy
219,67,RB,Gavin Sawchuk,Oklahoma,6.7,Flex Filler,Devy
182,45,QB,Geno Smith,SEA,6.8,Flex Filler,Dynasty
428,111,RB,George Holani,Boise State,6.1,Bench Depth,Rookie
82,12,TE,George Kittle,SF,7.5,Weekly Starter,Dynasty
436,114,RB,George Pettaway,North Carolina,6.1,Bench Depth,Devy
81,33,WR,George Pickens,PIT,7.5,Weekly Starter,Dynasty
409,51,TE,Gerald Everett,CHI,6.2,Bench Depth,Dynasty
567,110,QB,Graham Mertz,Florida,5.6,Taxi Squad Stash,Devy
541,104,QB,Grayson McCall,NC State,5.8,Taxi Squad Stash,Devy
492,197,WR,Greg Dortch,ARI,6.0,Bench Depth,Dynasty
547,76,TE,Greg Dulcich,DEN,5.8,Taxi Squad Stash,Dynasty
287,64,QB,Gunner Stockton,Georgia,6.5,Flex Filler,Devy
145,41,RB,Gus Edwards,LAC,7.0,Weekly Starter,Dynasty
571,84,TE,Harrison Bryant,LV,5.6,Waiver Wire Warrior,Dynasty
537,150,RB,Harry Parrish,Miami,5.8,Taxi Squad Stash,Devy
461,59,TE,Hayden Hurst,LAC,6.0,Bench Depth,Dynasty
